issn,journal_full,journal_short
0364-0094,AJS Review,AJS Rev
1524-4113,Journal of Jewish Education,J Jewish Ed
0022-2097,Journal of Jewish Studies,J Jewish Stud
0334-3596,Modern Judaism,Mod Judaism
1527-2028,Jewish Social Studies,Jewish Soc Stud
1086-3141,American Jewish History,Am Jewish Hist
0334-701X,Jewish History,Jewish Hist
0147-1694,Contemporary Jewry,Contemp Jewry
1472-5894,Journal of Modern Jewish Studies,J Mod Jewish Stud
2167-9428,Jewish Culture and History,Jewish Cult Hist
1553-0604,Jewish Quarterly Review,Jewish Q Rev
0014-3006,European Judaism,Eur Judaism
1783-1792,Studia Rosenthaliana,Stud Rosenth
2213-4972,European Journal of Jewish Studies,Eur J Jewish Stud
1527-201X,Israel Studies,Israel Stud
2153-1994,Jewish Review of Books,Jewish Rev Books
0740-8625,Studies in Contemporary Jewry,Stud Contemp Jew
